Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,plus / minus
Shai Gilgeous-Alexander,OKC,26,23,16,7,851,688,233,504,46.2,32,113,28.3,190,217,87.6,23,100,123,150,60,38,20,65,1175,5,0,166
Jalen Brunson,NYK,28,18,10,8,680.1,530,181,393,46.1,48,134,35.8,120,141,85.1,12,50,62,126,55,8,5,59,777,3,0,2
Jalen Willams,OKC,24,23,16,7,795.8,492,178,396,44.9,35,115,30.4,101,128,78.9,24,103,127,111,41,32,9,50,893,1,0,110
Pascal Siakam,IND,31,23,15,8,770.5,472,175,341,51.3,35,82,42.7,87,122,71.3,30,116,146,78,30,28,16,66,866,3,0,103
Tyrese Haliburton,IND,25,23,15,8,771.9,399,146,315,46.3,54,159,34,53,64,82.8,7,116,123,197,53,30,15,39,924,11,1,132
Karl Anthony-Towns,NYK,29,18,10,8,639.4,386,139,285,48.8,26,74,35.1,82,97,84.5,38,171,209,24,40,13,12,78,708,13,0,19
Anthony Edwards,MIN,23,15,9,6,584.8,380,135,298,45.3,46,130,35.4,64,89,71.9,18,99,117,82,39,17,11,32,688,3,0,38
Nikola Joki?,DEN,30,14,7,7,562.9,367,131,268,48.9,27,71,38,78,101,77.2,29,149,178,112,55,28,12,48,814,11,3,-11
Chet Holmgren,OKC,23,23,16,7,685.6,349,123,266,46.2,27,91,29.7,76,97,78.4,42,157,199,22,28,17,43,47,773,8,0,169
Julius Randle,MIN,30,15,9,6,533.3,326,115,229,50.2,30,78,38.5,66,75,88,27,61,88,74,49,12,2,45,536,2,1,40
Myles Turner,IND,29,23,15,8,674.7,317,106,219,48.4,31,90,34.4,74,96,77.1,28,82,110,32,38,12,46,68,633,1,0,52
Jamal Murray,DEN,28,14,7,7,578.5,305,111,250,44.4,34,96,35.4,49,56,87.5,9,59,68,73,44,17,11,31,536,0,0,30
OG Anunoby,NYK,27,18,10,8,704.9,294,103,247,41.7,41,121,33.9,47,58,81,24,59,83,24,30,36,22,49,574,0,0,-36
Aaron Nesmith,IND,25,23,15,8,650.3,291,100,212,47.2,60,122,49.2,31,36,86.1,27,103,130,26,23,20,18,95,577,3,0,106
Andrew Nembhard,IND,25,23,15,8,768.8,287,105,223,47.1,40,86,46.5,37,46,80.4,14,60,74,107,42,35,5,63,614,1,0,58
Mikal Bridges,NYK,28,18,10,8,706,280,120,263,45.6,28,84,33.3,12,16,75,20,61,81,53,38,30,17,39,560,0,0,-69
Donovan Mitchell,CLE,28,9,5,4,288.1,266,86,194,44.3,28,84,33.3,66,89,74.2,11,31,42,35,17,17,3,18,412,0,0,45
Bennedict Mathurin,IND,23,22,14,8,384.7,243,68,148,45.9,18,60,30,89,103,86.4,26,47,73,19,26,9,7,42,381,1,0,-76
Jaylen Brown,BOS,28,11,6,5,402.4,243,86,195,44.1,21,63,33.3,50,66,75.8,13,65,78,43,39,11,3,35,404,3,0,60
Aaron Gordon,DEN,29,14,7,7,521.7,227,81,167,48.5,22,58,37.9,43,50,86,50,56,106,38,26,8,5,33,424,2,0,23
Jayson Tatum,BOS,27,8,4,4,321.6,225,74,175,42.3,29,78,37.2,48,54,88.9,9,83,92,43,26,17,6,21,443,5,0,77
Jaden McDaniels,MIN,24,15,9,6,497.1,220,87,169,51.5,21,55,38.2,25,28,89.3,27,57,84,23,18,19,13,50,433,2,0,77
T.J. McConnell,IND,33,23,15,8,401.9,218,94,175,53.7,8,19,42.1,22,27,81.5,12,63,75,93,44,20,2,26,470,0,0,-34
Obi Toppin,IND,27,23,15,8,439.8,216,83,171,48.5,25,78,32.1,25,36,69.4,13,75,88,30,24,15,8,45,412,0,0,-38
